articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc
2548928359,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2548774349,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2548808405,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2548413767,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2548467825,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2548502951,e편한세상마포리버파크,매매,4/20,22억,84,59,남동향,22억
2548449682,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2548467260,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2548290895,e편한세상마포리버파크,매매,4/20,22억,84,59,남동향,22억
2548023606,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2548928402,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2548978224,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2548720282,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2548787543,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2548904180,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2548413663,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2547070337,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2547068197,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2548991911,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2549048098,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2548924844,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2548924502,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2548269236,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2548720600,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2548750545,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2548720401,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2548734528,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2548720148,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2548390153,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2548530808,e편한세상마포리버파크,매매,8/21,28억,112,84,남향,28억
2548587960,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남서향,"26억 5,000"
2548591745,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2548591593,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2548466415,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2548599837,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2548470345,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2548390416,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2548390099,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2548537858,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2548267851,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2548289755,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2548268892,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2548268456,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2548149033,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2547875698,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2547924224,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남서향,"15억 5,000"
2547875360,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2547604521,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남동향,"23억 6,000"
2547728366,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2547650016,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2547342165,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2547340561,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2548587834,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2548541353,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2548611119,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2547075904,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2547152852,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2546776542,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2547580770,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2546001441,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2547075047,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2547069631,e편한세상마포리버파크,전세,저/19,"15억 5,000",152,123,남서향,"15억 5,000"
2545085523,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2544845256,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2544637455,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2545835621,e편한세상마포리버파크,매매,중/21,28억,112,84,남향,28억
2543555366,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2543509086,e편한세상마포리버파크,매매,15/17,"23억 6,000",84,59,남서향,"23억 6,000"
2543077434,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2542973296,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2544152214,e편한세상마포리버파크,매매,저/21,"26억 5,000",111,84,남동향,"26억 5,000"
2548983646,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2548600555,e편한세상마포리버파크,매매,4/21,"26억 5,000",111,84,남동향,"26억 5,000"
2547654481,e편한세상마포리버파크,매매,1/21,24억,111,84,남동향,24억
2547584832,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2547180322,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
2547181120,e편한세상마포리버파크,전세,6/19,"15억 5,000",152,123,남동향,"15억 5,000"
2547122811,e편한세상마포리버파크,매매,12/17,"23억 5,000",84,59,남서향,"23억 5,000"
