articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc
2547869129,대흥태영(마포태영),매매,6/18,"23억 3,000",142,114,남서향,"23억 3,000"
2547478483,대흥태영(마포태영),전세,6/18,11억,142,114,남서향,11억
2547360545,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2547339806,대흥태영(마포태영),전세,1/22,8억,109,84,남동향,8억
2547475593,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2546326202,대흥태영(마포태영),전세,중/18,"8억 8,000",109,84,남서향,"8억 8,000"
2546933180,대흥태영(마포태영),매매,6/18,"23억 3,000",142,114,남서향,"23억 3,000"
2544734694,대흥태영(마포태영),매매,21/22,"15억 4,000",83,59,남동향,"15억 4,000"
2546432206,대흥태영(마포태영),매매,18/18,24억,142,114,남서향,24억
2546430219,대흥태영(마포태영),매매,6/18,"23억 3,000",142,114,남서향,"23억 3,000"
2546340816,대흥태영(마포태영),매매,18/18,24억,142,114,남서향,24억
2546340187,대흥태영(마포태영),매매,6/18,"23억 3,000",142,114,남서향,"23억 3,000"
2546003087,대흥태영(마포태영),매매,21/22,"15억 4,000",83,59,남동향,"15억 4,000"
2546278036,대흥태영(마포태영),전세,8/20,"6억 5,000",83,59,남동향,"6억 5,000"
2545775497,대흥태영(마포태영),전세,1/22,"7억 8,000",109,84,남동향,8억
2543716502,대흥태영(마포태영),매매,4/18,24억,142,114,남서향,24억
2545522040,대흥태영(마포태영),매매,18/18,24억,142,114,남서향,24억
2543379206,대흥태영(마포태영),전세,7/18,"8억 8,000",109,84,남서향,"8억 8,000"
2545343773,대흥태영(마포태영),전세,1/22,8억,109,84,남동향,8억
2544890350,대흥태영(마포태영),매매,18/18,24억,142,114,남서향,24억
2544851300,대흥태영(마포태영),매매,18/18,24억,142,114,남서향,24억
2544298238,대흥태영(마포태영),전세,6/18,11억,142,114,남서향,11억
2543787910,대흥태영(마포태영),전세,1/22,8억,109,84,남동향,8억
2548258374,대흥태영(마포태영),매매,20/22,"15억 5,000",83,59,남동향,"15억 5,000"
2544741234,대흥태영(마포태영),매매,21/22,"15억 4,000",83,59,남동향,"15억 4,000"
2549022044,도화현대1차,매매,중/15,"19억 9,000",168,147,남동향,"19억 9,000"
2548535318,도화현대1차,매매,중/15,"19억 9,000",168,147,남동향,"19억 9,000"
2549019601,도화현대1차,매매,4/15,"16억 5,000",148,128,남향,"16억 5,000"
2546884184,도화현대1차,매매,4/15,"16억 5,000",148,128,남향,"16억 5,000"
2547424051,도화현대1차,매매,저/15,11억,75,54,동향,11억
2547445901,도화현대1차,매매,중/15,"19억 9,000",168,147,남동향,"19억 9,000"
2548642946,도화현대1차,매매,저/15,"16억 5,000",148,128,남동향,"16억 5,000"
2549033954,삼성,전세,1/17,10억,158,136,남동향,10억
2548062796,삼성,전세,1/17,10억,158,136,남동향,10억
2548220537,삼성,전세,16/17,7억,90,72,남서향,7억
2548345519,삼성,매매,15/17,22억,158,136,남동향,22억
2548000093,삼성,전세,16/17,7억,90,72,남동향,7억
2547929575,삼성,전세,6/17,"6억 7,000",90,72,남서향,"6억 7,000"
2547755592,삼성,전세,16/17,7억,90,72,남서향,7억
2547424631,삼성,매매,3/17,"16억 1,000",90,72,남동향,"16억 1,000"
2548839251,삼성,매매,15/17,22억,158,136,남동향,22억
2546565511,삼성,매매,3/17,"16억 1,000",90,72,남동향,"16억 1,000"
2547450773,삼성,매매,3/17,"16억 1,000",90,72,남서향,"16억 1,000"
2547371208,삼성,전세,저/17,10억,158,136,남동향,10억
2547496023,삼성,매매,고/17,"18억 5,000",104,84,남서향,"18억 5,000"
2547450275,삼성,매매,3/17,"16억 1,000",90,72,남동향,"16억 1,000"
2545270482,삼성,매매,14/17,23억,159,136,남동향,23억
2545013292,삼성,전세,저/17,"11억 5,000",159,136,남동향,"11억 5,000"
2548529384,삼성,전세,고/17,7억,90,72,남서향,7억
2548897783,월드메르디앙,매매,17/27,"7억 7,000",131,101,남향,"7억 7,000"
2548887893,월드메르디앙,매매,6/30,"8억 6,000",191,155,남향,"8억 6,000"
2548969890,월드메르디앙,매매,1/30,"6억 8,000",118,84,남향,"6억 8,000"
2548948895,월드메르디앙,매매,1/30,"6억 8,000",118,84,남향,"6억 8,000"
2548948347,월드메르디앙,매매,10/27,"6억 3,500",105,76,남향,"6억 3,500"
2548855270,월드메르디앙,매매,7/30,"6억 8,000",118,84,남향,"6억 8,000"
2548760411,월드메르디앙,매매,1/30,"6억 8,000",118,84,남향,"6억 8,000"
2548616997,월드메르디앙,매매,1/30,"6억 8,000",118,84,남향,"6억 8,000"
2548337312,월드메르디앙,매매,7/21,7억,118,84,남향,7억
2548585369,월드메르디앙,전세,30/30,"5억 5,000",156,122,남향,"5억 5,000"
2548558880,월드메르디앙,매매,7/25,"8억 5,000",191,155,남향,"8억 5,000"
2548339632,월드메르디앙,매매,30/30,10억,191,155,남향,10억
2548339070,월드메르디앙,매매,1/26,"6억 5,300",105,76,남향,"6억 5,300"
2548295090,월드메르디앙,매매,1/30,"6억 8,000",118,84,남향,"6억 8,000"
2548222901,월드메르디앙,매매,30/30,9억,156,122,남향,9억
2548027167,월드메르디앙,매매,30/30,9억,156,122,남향,9억
2548094682,월드메르디앙,매매,10/26,"6억 5,000",105,76,남향,"6억 5,000"
2548193091,월드메르디앙,매매,17/30,8억,156,122,남향,8억
2548967010,월드메르디앙,매매,고/30,"6억 7,000",113,84,남향,"6억 8,000"
2548974249,월드메르디앙,매매,중/30,7억,118,84,남향,7억
2548953800,월드메르디앙,매매,저/30,"8억 6,000",191,155,남향,"8억 6,000"
2548956623,월드메르디앙,매매,중/26,"6억 6,000",105,76,남향,"6억 6,000"
2547597570,월드메르디앙,매매,3/30,"6억 9,000",118,84,남동향,"6억 9,000"
2547597993,월드메르디앙,매매,25/26,7억,105,76,남향,7억
2547661123,월드메르디앙,매매,27/27,8억,131,101,남향,8억
2548731479,월드메르디앙,매매,고/26,7억,105,76,남향,7억
2548855609,월드메르디앙,매매,중/30,"6억 6,000",113,84,남향,"6억 6,000"
2547524642,월드메르디앙,매매,7/30,"6억 8,000",118,84,남향,"6억 8,000"
2547449061,월드메르디앙,전세,1/30,"4억 5,000",118,84,남향,"4억 5,000"
2548506326,월드메르디앙,매매,중/30,7억,118,84,남향,7억
2548598132,월드메르디앙,매매,저/30,7억,118,84,남향,7억
2548611253,월드메르디앙,매매,저/27,"6억 5,000",105,76,남향,"6억 5,000"
2548530693,월드메르디앙,매매,중/30,"6억 5,000",113,84,남향,"6억 5,000"
2548500683,월드메르디앙,매매,저/28,"6억 9,000",118,84,남향,"6억 9,000"
2548541123,월드메르디앙,매매,중/30,8억,156,122,서향,8억
2548503440,월드메르디앙,매매,중/30,7억,118,84,남향,7억
2548558297,월드메르디앙,매매,고/30,"7억 5,000",131,101,남향,"7억 5,000"
2548559848,월드메르디앙,매매,중/25,8억,191,155,남향,8억
2548301160,월드메르디앙,매매,저/30,"6억 7,000",113,84,남서향,"6억 7,000"
2546968700,월드메르디앙,매매,17/30,8억,156,122,남향,8억
2546915117,월드메르디앙,전세,1/30,"4억 5,000",118,84,남향,"4억 5,000"
2548178829,월드메르디앙,매매,중/30,7억,118,84,남향,7억
2546788577,월드메르디앙,매매,9/27,"6억 9,000",105,76,남향,"6억 9,000"
2546702825,월드메르디앙,매매,17/30,8억,156,122,남향,8억
2546702428,월드메르디앙,매매,6/30,"6억 7,000",113,84,남향,"6억 7,000"
2546596380,월드메르디앙,매매,17/30,8억,156,122,남서향,8억
2547660372,월드메르디앙,매매,고/30,"7억 7,000",118,84,남향,"7억 7,000"
2546119282,월드메르디앙,매매,17/30,8억,156,122,남서향,8억
2546096951,월드메르디앙,전세,30/30,"5억 5,000",156,122,남향,"5억 5,000"
2545733904,월드메르디앙,매매,6/30,"8억 6,000",191,155,남향,"8억 6,000"
2545743063,월드메르디앙,전세,1/30,"4억 5,000",118,84,남향,"4억 5,000"
2545755220,월드메르디앙,전세,12/30,"5억 3,000",118,84,남향,"5억 3,000"
2545753355,월드메르디앙,전세,30/30,"5억 5,000",156,122,남향,"5억 5,000"
2548949537,월드메르디앙,전세,고/27,"5억 5,000",131,101,남향,"5억 5,000"
2545391781,월드메르디앙,매매,17/27,"6억 8,000",105,76,남향,"6억 8,000"
2546912321,월드메르디앙,매매,중/26,"6억 6,000",105,76,남향,"6억 6,000"
2546913198,월드메르디앙,매매,고/27,"7억 6,000",131,101,남향,"7억 6,000"
2546944015,월드메르디앙,매매,중/30,7억,118,84,남향,7억
2548854854,월드메르디앙,매매,중/30,8억,156,122,남서향,8억
2546785076,월드메르디앙,매매,중/30,8억,156,122,남서향,8억
2545298487,월드메르디앙,전세,1/30,"4억 5,000",118,84,남향,"4억 5,000"
2545394326,월드메르디앙,매매,15/30,8억,156,122,남서향,8억
2545394771,월드메르디앙,매매,7/25,"8억 5,000",191,155,남향,"8억 5,000"
2545393004,월드메르디앙,매매,2/30,"6억 7,000",113,84,남향,"6억 7,000"
2545651971,월드메르디앙,매매,26/26,"7억 3,000",105,76,남향,"7억 3,000"
2545299148,월드메르디앙,전세,30/30,"5억 5,000",156,122,남향,"5억 5,000"
2547455416,월드메르디앙,매매,2/27,"6억 6,000",131,101,남향,"6억 6,000"
2546355566,월드메르디앙,매매,고/30,"7억 5,000",131,101,남향,"7억 5,000"
2544930607,월드메르디앙,매매,17/30,8억,156,122,남서향,8억
2546081373,월드메르디앙,매매,고/28,"7억 2,000",118,84,남향,"7억 2,000"
2544805379,월드메르디앙,매매,26/26,"7억 3,000",105,76,남향,"7억 3,000"
2544791763,월드메르디앙,매매,26/26,"7억 3,000",105,76,남향,"7억 3,000"
2545795601,월드메르디앙,매매,중/30,"6억 9,000",118,84,남향,"6억 9,000"
2545739714,월드메르디앙,매매,저/30,"6억 7,000",113,84,남향,"6억 7,000"
2544458873,월드메르디앙,매매,10/27,"6억 3,500",105,76,남향,"6억 3,500"
2546912830,월드메르디앙,전세,저/30,"6억 2,000",230,189,남향,"6억 2,000"
2544556283,월드메르디앙,매매,17/30,8억,156,122,남서향,8억
2544143946,월드메르디앙,매매,10/27,"6억 3,500",105,76,남향,"6억 3,500"
2544166034,월드메르디앙,전세,1/30,"4억 5,000",118,84,남향,"4억 5,000"
2543937414,월드메르디앙,매매,3/30,"6억 9,000",118,84,남동향,"6억 9,000"
2543935147,월드메르디앙,매매,3/30,"6억 9,000",118,84,남동향,"6억 9,000"
2543996368,월드메르디앙,매매,6/30,"8억 6,000",191,155,남향,"8억 6,000"
2545009488,월드메르디앙,매매,저/27,"6억 7,000",131,101,남향,"6억 7,000"
2545138318,월드메르디앙,매매,고/30,"6억 6,000",113,84,남향,"6억 6,000"
2543717101,월드메르디앙,매매,3/30,"6억 9,000",118,84,남동향,"6억 9,000"
2543935244,월드메르디앙,매매,7/25,"8억 5,000",191,155,남향,"8억 5,000"
2544929706,월드메르디앙,매매,중/25,8억,191,155,남향,8억
2544928488,월드메르디앙,매매,고/30,"7억 5,000",131,101,남향,"7억 5,000"
2544938573,월드메르디앙,매매,중/30,8억,156,122,남향,8억
2543317905,월드메르디앙,매매,3/30,"6억 9,000",118,84,남동향,"6억 9,000"
2543312349,월드메르디앙,전세,12/30,"5억 3,000",118,84,남향,"5억 3,000"
2544394712,월드메르디앙,전세,고/30,"5억 5,000",156,122,남향,"5억 5,000"
2544427484,월드메르디앙,매매,저/30,"9억 5,000",230,189,남향,"9억 5,000"
2544532259,월드메르디앙,매매,고/27,"6억 8,000",105,76,남향,"6억 8,000"
2544458816,월드메르디앙,매매,중/30,8억,156,122,남향,8억
2544647935,월드메르디앙,매매,고/30,"6억 8,000",113,84,남향,"6억 8,000"
2543960196,월드메르디앙,매매,고/30,"6억 8,000",113,84,남향,"6억 8,000"
2543651783,월드메르디앙,매매,고/28,"7억 2,000",118,84,남향,"7억 2,000"
2544355741,월드메르디앙,매매,10/27,"6억 3,500",105,76,남향,"6억 3,500"
2543079736,월드메르디앙,전세,고/30,6억,230,189,남향,6억
2543078536,월드메르디앙,매매,중/28,7억,118,84,남향,7억
