articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2618985497,공덕삼성,매매,14/25,22억,112,84,남향,22억,651,19991016
2618629975,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2618360674,공덕삼성,매매,고/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2618919639,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618928159,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618990938,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618972474,공덕삼성,매매,5/25,"19억 8,000",112,84,동향,20억,651,19991016
2618904214,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618915170,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618929043,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618918594,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618929318,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2618929500,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618933637,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618931614,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2618931857,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618929873,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2618908208,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2618907681,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2618930470,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2618900236,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2618869304,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618882579,공덕삼성,전세,2/22,"7억 3,000",85,59,남향,"7억 3,000",651,19991016
2618875031,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618874273,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618899309,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618879397,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2618886297,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2618875679,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2618856739,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618877892,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618867743,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2618860508,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2618869016,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618876833,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618859143,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618811622,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2618873154,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618812115,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618290150,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618591334,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2618654291,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618694472,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618757997,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618693063,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618717071,공덕삼성,매매,24/25,"24억 5,000",142,114,남향,"24억 5,000",651,19991016
2618567186,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618690328,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
