articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2619435642,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2618985497,공덕삼성,매매,14/25,22억,112,84,남향,22억,651,19991016
2619098810,공덕삼성,매매,고/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2619345271,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2619462762,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2619383744,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2619465229,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2619478901,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2619341629,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2619340964,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2619478512,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2619469707,공덕삼성,전세,2/22,"7억 3,000",85,59,남향,"7억 3,000",651,19991016
2619444257,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2619486644,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2619343011,공덕삼성,매매,11/22,"17억 5,000",85,59,동향,"17억 5,000",651,19991016
2619409428,공덕삼성,매매,5/25,"19억 8,000",112,84,남동향,20억,651,19991016
2619487289,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2619489149,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2619439818,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2619342461,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2619253074,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2619128322,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2619217824,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2619241689,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2619126836,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2619123739,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2619122746,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
