매물번호,아파트명,거래타입,층,가격,정렬용가격,공급면적,전용면적,공급면적(평수),전용면적(평수),방향,세대수,준공년도
2618326121,e편한세상마포리버파크,매매,10/21,"24억 3,000",243000,84,59,25.4,17.8,남동향,547,20161013
2618382131,e편한세상마포리버파크,매매,16/21,29억,290000,110,84,33.3,25.4,남서향,547,20161013
2613212355,e편한세상마포리버파크,매매,16/21,30억,300000,112,84,33.9,25.4,남향,547,20161013
2617429281,e편한세상마포리버파크,전세,고/21,10억,100000,84,59,25.4,17.8,남동향,547,20161013
2618459265,e편한세상마포리버파크,전세,14/20,13억,130000,110,84,33.3,25.4,남동향,547,20161013
2617859663,e편한세상마포리버파크,전세,중/21,13억,130000,112,84,33.9,25.4,남향,547,20161013
2618407483,강변힐스테이트,매매,4/19,16억,160000,79,59,23.9,17.8,남향,510,20040216
2618403525,강변힐스테이트,매매,중/16,"18억 5,000",185000,106,84,32.1,25.4,남향,510,20040216
2616214904,강변힐스테이트,매매,3/13,"20억 2,000",202000,133,114,40.2,34.5,남향,510,20040216
2618374982,강변힐스테이트,전세,중/13,"9억 5,000",95000,133,114,40.2,34.5,남향,510,20040216
2618347426,공덕삼성,매매,15/22,17억,170000,85,59,25.7,17.8,남향,651,19991016
2618360971,공덕삼성,매매,5/25,"19억 8,000",198000,112,84,33.9,25.4,남향,651,19991016
2616109805,공덕삼성,매매,고/25,25억,250000,142,114,43.0,34.5,남향,651,19991016
2618290150,공덕삼성,전세,2/22,"7억 3,000",73000,85,59,25.7,17.8,동향,651,19991016
2618458531,공덕삼성,전세,24/25,12억,120000,142,114,43.0,34.5,남향,651,19991016
2618348538,대흥태영(마포태영),매매,8/20,"17억 3,000",173000,83,59,25.1,17.8,동향,1992,19991120
2618377519,대흥태영(마포태영),매매,1/22,"20억 5,000",205000,109,84,33.0,25.4,남동향,1992,19991120
2618357098,대흥태영(마포태영),매매,21/25,23억,230000,142,114,43.0,34.5,남동향,1992,19991120
