매물번호,아파트명,거래타입,층,가격,정렬용가격,공급면적,전용면적,공급면적(평수),전용면적(평수),방향,세대수,준공년도
2619084385,마포그랑자이,매매,12/22,32억,320000,128,96,38.7,29.0,남서향,1248,20200221
2618863959,마포그랑자이,매매,고/22,40억,400000,153,112,46.3,33.9,남동향,1248,20200221
2614959075,마포그랑자이,전세,저/22,"8억 5,000",85000,80,59,24.2,17.8,남동향,1248,20200221
2617389378,마포그랑자이,전세,1/22,"10억 5,000",105000,112,84,33.9,25.4,남동향,1248,20200221
2613522983,마포그랑자이,전세,중/20,"2억 7,500",27500,114,84,34.5,25.4,남향,1248,20200221
2618871390,마포그랑자이,전세,15/18,"18억 5,000",185000,153,112,46.3,33.9,남동향,1248,20200221
2618915108,마포자이,매매,저/19,26억,260000,108,84,32.7,25.4,남동향,534,20031205
2619081093,마포자이,매매,3/19,"28억 5,000",285000,135,113,40.8,34.2,남서향,534,20031205
2616271261,마포자이,매매,저/25,31억,310000,189,157,57.2,47.5,남향,534,20031205
2618880461,마포자이,전세,17/20,11억,110000,108,84,32.7,25.4,남동향,534,20031205
2618844861,마포자이,전세,4/19,"13억 5,000",135000,135,113,40.8,34.2,남동향,534,20031205
2618370518,마포자이,전세,4/25,14억,140000,163,135,49.3,40.8,남서향,534,20031205
2618627800,마포자이2차,매매,2/25,"25억 5,000",255000,110,84,33.3,25.4,남향,558,20140306
2618145640,마포자이2차,매매,고/25,34억,340000,145,118,43.9,35.7,남향,558,20140306
2618790961,마포자이2차,전세,중/25,12억,120000,110,84,33.3,25.4,남서향,558,20140306
2617046163,마포자이2차,전세,고/25,"19억 5,000",195000,145,118,43.9,35.7,남향,558,20140306
2618868245,마포자이더센트리지,매매,4/12,"20억 5,000",205000,82,59,24.8,17.8,남서향,927,20220630
2618664950,마포자이더센트리지,매매,8/12,"22억 3,000",223000,83,59,25.1,17.8,남동향,927,20220630
2618826955,마포자이더센트리지,매매,저/25,23억,230000,113,84,34.2,25.4,남동향,927,20220630
2618188932,마포자이더센트리지,매매,저/25,"27억 5,000",275000,114,84,34.5,25.4,남서향,927,20220630
2618944654,마포자이더센트리지,전세,6/18,"11억 5,000",115000,113,84,34.2,25.4,남향,927,20220630
2618577686,마포자이더센트리지,전세,저/25,11억,110000,114,84,34.5,25.4,남서향,927,20220630
2616610819,마포자이힐스테이트라첼스,매매,고/21,27억,270000,82,59,24.8,17.8,남서향,1101,202703
2617768870,마포자이힐스테이트라첼스,매매,저/22,"27억 9,500",279500,109,84,33.0,25.4,남향,1101,202703
2617668629,마포자이힐스테이트라첼스,매매,14/17,"29억 2,000",292000,110,84,33.3,25.4,남동향,1101,202703
2618180021,마포자이힐스테이트라첼스,매매,1/18,"36억 5,000",365000,144,114,43.6,34.5,남향,1101,202703
2618920133,마포자이힐스테이트라첼스,매매,중/16,"34억 6,425",346425,145,114,43.9,34.5,동향,1101,202703
2619020369,마포자이힐스테이트라첼스,전세,고/17,12억,120000,82,59,24.8,17.8,남동향,1101,202703
2617659409,마포자이힐스테이트라첼스,전세,10/22,17억,170000,110,84,33.3,25.4,남서향,1101,202703
2619037443,마포자이힐스테이트라첼스,전세,저/22,19억,190000,144,114,43.6,34.5,남향,1101,202703
2619077712,마포프레스티지자이,매매,고/13,"16억 7,000",167000,57,42,17.2,12.7,남향,1694,20211230
2618970232,마포프레스티지자이,매매,중/27,"23억 5,000",235000,79,59,23.9,17.8,남동향,1694,20211230
2618912261,마포프레스티지자이,매매,중/17,23억,230000,80,59,24.2,17.8,남서향,1694,20211230
2616777035,마포프레스티지자이,매매,고/20,"27억 8,000",278000,112,84,33.9,25.4,남서향,1694,20211230
2618906036,마포프레스티지자이,매매,중/27,29억,290000,113,84,34.2,25.4,남서향,1694,20211230
2619077923,마포프레스티지자이,매매,저/27,"32억 8,000",328000,150,114,45.4,34.5,남서향,1694,20211230
2618970957,마포프레스티지자이,매매,21/21,52억,520000,154,114,46.6,34.5,남향,1694,20211230
