articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2617440119,공덕삼성,매매,14/25,22억,112,84,남향,22억,651,19991016
2618360674,공덕삼성,매매,고/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2618290150,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2616748217,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2618333476,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618342016,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618366678,공덕삼성,매매,22/25,"22억 5,000",112,84,동향,"22억 5,000",651,19991016
2618348562,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2618357150,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2618353293,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2618366168,공덕삼성,매매,8/22,18억,85,59,남향,18억,651,19991016
2618365535,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618375876,공덕삼성,매매,9/22,"17억 5,000",85,59,남향,"17억 5,000",651,19991016
2618360971,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2618348767,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618347426,공덕삼성,매매,15/22,17억,85,59,남향,17억,651,19991016
2618364304,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2618340561,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2618354825,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2618353803,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618322538,공덕삼성,매매,5/25,"19억 8,000",112,84,남향,20억,651,19991016
2618331949,공덕삼성,매매,14/25,22억,112,84,동향,22억,651,19991016
2618331745,공덕삼성,매매,5/25,20억,112,84,남향,20억,651,19991016
2618282973,공덕삼성,매매,2/25,21억,112,84,남향,21억,651,19991016
2618278578,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618331024,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2618288366,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2618282550,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2618283157,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618236509,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618249138,공덕삼성,전세,2/22,"7억 3,000",85,59,남향,"7억 3,000",651,19991016
2618240565,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618261014,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618257045,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2618237972,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618252110,공덕삼성,전세,2/22,"7억 3,000",85,59,남향,"7억 3,000",651,19991016
2618253733,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618241048,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618244834,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618249151,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618233315,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618216607,공덕삼성,매매,2/25,21억,112,84,남향,21억,651,19991016
2618190579,공덕삼성,매매,22/25,"21억 9,000",112,84,동향,"22억 5,000",651,19991016
2618232824,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618103754,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2618236309,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
2618127749,공덕삼성,전세,24/25,12억,142,114,남향,12억,651,19991016
2618235755,공덕삼성,전세,2/22,"7억 3,000",85,59,남향,"7억 3,000",651,19991016
2618234097,공덕삼성,전세,2/22,"7억 3,000",85,59,동향,"7억 3,000",651,19991016
