매물번호,아파트명,거래타입,층,가격,정렬용가격,공급면적,전용면적,공급면적(평수),전용면적(평수),방향,세대수,준공년도
2615924170,e편한세상마포리버파크,매매,10/21,"24억 3,000",243000,84,59,25.4,17.8,남동향,547,20161013
2615903177,e편한세상마포리버파크,매매,16/21,29억,290000,110,84,33.3,25.4,남서향,547,20161013
2615780322,e편한세상마포리버파크,매매,12/21,30억,300000,112,84,33.9,25.4,남향,547,20161013
2615620608,강변힐스테이트,매매,고/19,16억,160000,79,59,23.9,17.8,남향,510,20040216
2615744392,강변힐스테이트,매매,3/16,"18억 2,000",182000,106,84,32.1,25.4,남동향,510,20040216
2615961677,강변힐스테이트,매매,3/13,"20억 2,000",202000,133,114,40.2,34.5,남향,510,20040216
2616102721,강변힐스테이트,전세,중/13,"9억 5,000",95000,133,114,40.2,34.5,남향,510,20040216
2616013936,공덕래미안4차,매매,고/19,"18억 7,000",187000,84,59,25.4,17.8,남동향,597,20051117
2614119677,공덕래미안4차,매매,12/17,"23억 5,000",235000,141,112,42.7,33.9,남동향,597,20051117
2616025053,공덕래미안4차,전세,20/20,11억,110000,141,112,42.7,33.9,남동향,597,20051117
2615729160,공덕삼성,매매,15/22,17억,170000,85,59,25.7,17.8,남향,651,19991016
2615985717,공덕삼성,매매,5/25,20억,200000,112,84,33.9,25.4,남향,651,19991016
2614171586,공덕삼성,매매,고/25,25억,250000,142,114,43.0,34.5,남향,651,19991016
2615877657,대흥태영(마포태영),매매,5/22,17억,170000,83,59,25.1,17.8,남동향,1992,19991120
2614507347,대흥태영(마포태영),매매,1/24,"19억 6,000",196000,109,84,33.0,25.4,남서향,1992,19991120
2615566147,대흥태영(마포태영),매매,22/25,23억,230000,142,114,43.0,34.5,남동향,1992,19991120
2615880962,대흥태영(마포태영),전세,7/20,"6억 7,000",67000,83,59,25.1,17.8,남동향,1992,19991120
2616035041,대흥태영(마포태영),전세,4/18,10억,100000,109,84,33.0,25.4,남서향,1992,19991120
2616014349,대흥태영(마포태영),전세,6/24,"12억 5,000",125000,142,114,43.0,34.5,남서향,1992,19991120
2614732071,도화3지구우성,매매,6/15,15억,150000,75,54,22.7,16.3,동향,1222,19910320
2615161066,도화3지구우성,매매,13/15,"16억 5,000",165000,92,68,27.8,20.6,남향,1222,19910320
2614014321,도화3지구우성,매매,중/12,18억,180000,107,79,32.4,23.9,동향,1222,19910320
2614609200,도화3지구우성,매매,저/15,"19억 5,000",195000,132,111,39.9,33.6,동향,1222,19910320
2613297040,도화3지구우성,매매,고/15,"19억 8,000",198000,149,128,45.1,38.7,남향,1222,19910320
2615289110,도화3지구우성,매매,중/10,21억,210000,168,141,50.8,42.7,남향,1222,19910320
2614964913,도화3지구우성,전세,중/15,"5억 4,000",54000,75,54,22.7,16.3,동향,1222,19910320
2613483731,도화3지구우성,전세,13/15,"5억 7,000",57000,92,68,27.8,20.6,남향,1222,19910320
2613819335,도화3지구우성,전세,8/10,"7억 2,000",72000,168,141,50.8,42.7,남향,1222,19910320
2614886234,도화현대1차,매매,8/15,15억,150000,75,54,22.7,16.3,동향,1021,19960925
2615742260,도화현대1차,매매,저/16,"15억 7,000",157000,94,68,28.4,20.6,남향,1021,19960925
2614447251,도화현대1차,매매,3/15,"17억 5,000",175000,106,79,32.1,23.9,남향,1021,19960925
2615751058,도화현대1차,매매,5/15,19억,190000,130,112,39.3,33.9,남향,1021,19960925
2615844099,도화현대1차,매매,저/15,"17억 9,000",179000,148,128,44.8,38.7,남향,1021,19960925
2615583844,도화현대1차,매매,6/15,21억,210000,168,147,50.8,44.5,남향,1021,19960925
2615264595,도화현대1차,전세,9/16,"5억 6,000",56000,94,68,28.4,20.6,남향,1021,19960925
2615361613,도화현대1차,전세,5/15,"8억 2,000",82000,130,112,39.3,33.9,남향,1021,19960925
2615319932,도화현대1차,전세,7/15,"9억 5,000",95000,168,147,50.8,44.5,남동향,1021,19960925
2616012541,래미안공덕3차,매매,1/20,"19억 2,000",192000,80,59,24.2,17.8,남서향,616,20040830
2615990704,래미안공덕3차,매매,5/20,26억,260000,136,114,41.1,34.5,남서향,616,20040830
2615853622,래미안공덕3차,전세,고/20,7억,70000,80,59,24.2,17.8,남서향,616,20040830
2615852903,래미안공덕3차,전세,고/19,"9억 5,000",95000,106,84,32.1,25.4,남동향,616,20040830
