articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2615234909,공덕래미안4차,매매,5/20,25억,141,112,남동향,25억,597,20051117
2615212572,공덕래미안4차,매매,5/20,25억,141,112,남동향,25억,597,20051117
2616493626,공덕래미안4차,매매,10/14,22억,104,83,남서향,22억,597,20051117
2616555404,공덕래미안4차,매매,10/13,21억,104,83,남서향,21억,597,20051117
2616586508,공덕래미안4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2616473159,공덕래미안4차,매매,12/17,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616505243,공덕래미안4차,매매,12/17,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616568754,공덕래미안4차,매매,10/13,21억,104,83,남서향,21억,597,20051117
2616452176,공덕래미안4차,매매,12/17,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616384092,공덕래미안4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
2616424815,공덕래미안4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
2616377495,공덕래미안4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
2616453853,공덕래미안4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
2616377681,공덕래미안4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2616507225,공덕래미안4차,매매,10/13,21억,104,83,남서향,21억,597,20051117
2616568938,공덕래미안4차,매매,10/14,22억,104,83,남서향,22억,597,20051117
2616377794,공덕래미안4차,매매,12/17,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616558940,공덕래미안4차,매매,10/13,21억,104,83,남서향,21억,597,20051117
2616505584,공덕래미안4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
2616487897,공덕래미안4차,매매,10/14,22억,104,83,남서향,22억,597,20051117
2616373928,공덕래미안4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616206272,공덕래미안4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616238329,공덕래미안4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2616531072,공덕래미안4차,매매,10/13,21억,104,83,남서향,21억,597,20051117
2616216527,공덕래미안4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616238565,공덕래미안4차,매매,12/17,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616237619,공덕래미안4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
2616216354,공덕래미안4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2616308204,공덕래미안4차,전세,20/20,11억,141,112,남동향,11억,597,20051117
2616231701,공덕래미안4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
2614119677,공덕래미안4차,매매,12/17,23억,141,112,남동향,"23억 5,000",597,20051117
2616025315,공덕래미안4차,매매,5/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616025546,공덕래미안4차,매매,12/17,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616024750,공덕래미안4차,매매,20/20,"23억 5,000",141,112,남동향,"23억 5,000",597,20051117
2616115572,공덕래미안4차,매매,2/17,"18억 9,000",84,59,남서향,"19억 3,000",597,20051117
